keep,row_id,table_number,table_title,grouping_basis,group_label,trial_label,combined_group,citation_display,title,authors,year,doi,journal,reference_number,study_design,sample_size,outcome_measure,outcome_result,notes,needs_review
True,1,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-G / JULIET,JULIET,FACT-G / JULIET / JULIET,Maziarz 2020 [19],Maziarz 2020 [19],Maziarz et al.,2020,,,19,,,,,Phase 2 single-arm; R/R DLBCL; tisagenlecleucel; Global,
True,2,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-G / JULIET,JULIET,FACT-G / JULIET / JULIET,Tam 2019 [67],Tam 2019 [67],Tam et al.,2019,,,67,,,,,Phase 2 single-arm; R/R DLBCL; tisagenlecleucel; Global,
True,3,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-G / JULIET,JULIET,FACT-G / JULIET / JULIET,Maziarz 2017 [68],Maziarz 2017 [68],Maziarz et al.,2017,,,68,,,,,Phase 2 single-arm; R/R DLBCL; tisagenlecleucel; Global,
True,4,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-G / ORCHARRD,ORCHARRD,FACT-G / ORCHARRD / ORCHARRD,ClinicalTrials.gov [39],ClinicalTrials.gov [39],ClinicalTrials.gov,2009,,,39,,,,,NCT01014208,
True,5,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-G / SADAL,SADAL,FACT-G / SADAL / SADAL,Shah 2021 [38],Shah 2021 [38],Shah et al.,2021,,,38,,,,,Phase 2b single-arm; R/R DLBCL; selinexor; Global,
True,6,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-G / SADAL,SADAL,FACT-G / SADAL / SADAL,Casasnovas 2020 [69],Casasnovas 2020 [69],Casasnovas et al.,2020,,,69,,,,,Phase 2b single-arm; R/R DLBCL; selinexor; Global,
True,7,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-G / NCT00667615,NCT00667615,FACT-G / NCT00667615 / NCT00667615,Straus 2015 [40],Straus 2015 [40],Straus et al.,2015,,,40,,,,,Phase 1/2 single-arm; R/R DLBCL ≥60y; R-CVEP; US,
True,8,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-Lym / JULIET,JULIET,FACT-Lym / JULIET / JULIET,Maziarz 2020 [19],Maziarz 2020 [19],Maziarz et al.,2020,,,19,,,,,"Phase 2 single-arm; tisagenlecleucel; FACT-Lym TS, TOI, subscale; Global",
True,9,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-Lym / JULIET,JULIET,FACT-Lym / JULIET / JULIET,Tam 2019 [67],Tam 2019 [67],Tam et al.,2019,,,67,,,,,"Phase 2 single-arm; tisagenlecleucel; FACT-Lym TS, TOI, subscale; Global",
True,10,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-Lym / JULIET,JULIET,FACT-Lym / JULIET / JULIET,Maziarz 2017 [68],Maziarz 2017 [68],Maziarz et al.,2017,,,68,,,,,"Phase 2 single-arm; tisagenlecleucel; FACT-Lym TS, TOI, subscale; Global",
True,11,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-Lym / ORCHARRD,ORCHARRD,FACT-Lym / ORCHARRD / ORCHARRD,ClinicalTrials.gov [39],ClinicalTrials.gov [39],ClinicalTrials.gov,2009,,,39,,,,,NCT01014208,
True,12,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-Lym / SADAL,SADAL,FACT-Lym / SADAL / SADAL,Shah 2021 [38],Shah 2021 [38],Shah et al.,2021,,,38,,,,,Phase 2b single-arm; selinexor; FACT-Lym TS and TOI; Global,
True,13,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-Lym / SADAL,SADAL,FACT-Lym / SADAL / SADAL,Casasnovas 2020 [69],Casasnovas 2020 [69],Casasnovas et al.,2020,,,69,,,,,Phase 2b single-arm; selinexor; FACT-Lym TS and TOI; Global,
True,14,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-Lym / NCT00667615,NCT00667615,FACT-Lym / NCT00667615 / NCT00667615,Straus 2015 [40],Straus 2015 [40],Straus et al.,2015,,,40,,,,,Phase 1/2 single-arm; R-CVEP; FACT-Lym TS and TOI; US,
True,15,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,FACT-Lym subscale / TRANSFORM,TRANSFORM,FACT-Lym subscale / TRANSFORM / TRANSFORM,Abramson 2021 [18],Abramson 2021 [18],Abramson et al.,2021,,,18,,,,,Phase 3 RCT; R/R LBCL; liso-cel vs SOC; NR region,
False,16,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,EORTC QLQ-C30 / Ma 2021 survey,Point-in-time survey,EORTC QLQ-C30 / Ma 2021 survey / Point-in-time survey,Ma 2021 [41],Ma 2021 [41],Ma et al.,2021,,,41,,,,,Observational survey; may not meet trial inclusion criteria,yes
True,17,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,EORTC QLQ-C30 / TRANSCEND NHL 001,TRANSCEND NHL 001,EORTC QLQ-C30 / TRANSCEND NHL 001 / TRANSCEND NHL 001,Patrick 2021 [17],Patrick 2021 [17],Patrick et al.,2021,,,17,,,,,Phase 1 single-arm; R/R DLBCL; liso-cel; US,
True,18,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,EORTC QLQ-C30 / TRANSCEND NHL 001,TRANSCEND NHL 001,EORTC QLQ-C30 / TRANSCEND NHL 001 / TRANSCEND NHL 001,Patrick 2020 [37],Patrick 2020 [37],Patrick et al.,2020,,,37,,,,,Phase 1 single-arm; R/R DLBCL; liso-cel; US,
True,19,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,EORTC QLQ-C30 / TRANSCEND NHL 001,TRANSCEND NHL 001,EORTC QLQ-C30 / TRANSCEND NHL 001 / TRANSCEND NHL 001,Patrick 2019 [35],Patrick 2019 [35],Patrick et al.,2019,,,35,,,,,Phase 1 single-arm; R/R DLBCL; liso-cel; US,
True,20,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,EORTC QLQ-C30 / TRANSCEND NHL 001,TRANSCEND NHL 001,EORTC QLQ-C30 / TRANSCEND NHL 001 / TRANSCEND NHL 001,Patrick 2019 [36],Patrick 2019 [36],Patrick et al.,2019,,,36,,,,,Phase 1 single-arm; R/R DLBCL; liso-cel; US,
True,21,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,EORTC QLQ-C30 / TRANSFORM,TRANSFORM,EORTC QLQ-C30 / TRANSFORM / TRANSFORM,Abramson 2021 [18],Abramson 2021 [18],Abramson et al.,2021,,,18,,,,,Phase 3 RCT; liso-cel vs SOC; NR region,
True,22,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,SF-36 / JULIET,JULIET,SF-36 / JULIET / JULIET,Maziarz 2020 [19],Maziarz 2020 [19],Maziarz et al.,2020,,,19,,,,,Phase 2 single-arm; tisagenlecleucel; SF-36 PCS and MCS; Global,
True,23,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,SF-36 / JULIET,JULIET,SF-36 / JULIET / JULIET,Tam 2019 [67],Tam 2019 [67],Tam et al.,2019,,,67,,,,,Phase 2 single-arm; tisagenlecleucel; SF-36 PCS and MCS; Global,
True,24,2,Overview of included studies on HRQOL measures,Assessment instrument / trial,SF-36 / JULIET,JULIET,SF-36 / JULIET / JULIET,Maziarz 2017 [68],Maziarz 2017 [68],Maziarz et al.,2017,,,68,,,,,Phase 2 single-arm; tisagenlecleucel; SF-36 PCS and MCS; Global,
